                  20,00000001000000010000000100000001,0,0
                  40,00000000100000001000000010000000,0,0
                  60,00000000010000000100000001000000,0,0
                  80,00000000000000000000000000000000,1,0
                 100,00000000000000000000000000000001,0,0
                 120,00000000000000000000000000000001,0,0
                 140,01111111111111111111111111111111,0,0
                 160,00000000000000000000000000000000,1,0
                 180,00000000000000000000000000000000,1,0
                 200,00000000000000000000000000000000,1,0
                 220,00000000000000000000000000000010,0,1
                 240,10000000000000000000000000000000,0,0
                 260,10000000000000000000000000000001,0,1
                 280,00000000000000000000000000000000,1,0
                 300,00000000000000000000000000000010,0,0
                 320,00000000000000000000000000000000,1,1
                 340,01111111111111111111111111111110,0,1
                 360,10000000000000000000000000000001,0,0
